text,vader,textblob,roberta,bert,cnn,lstm,svm,average_score,sentiment,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,avg_sentiment,nouncount_,verbcount_
"AVOID this renewed version of the phone. Horrible quality, both were unusable within 24 hours of receiving them.First phone I received:- Visible damage despite choose ""excellent condition""- Glue sticking out the sides, showing a poor repair job and NO WATER SEAL anymore- Began overheating the first day- Fingerprint reader broken (wouldn't even open to register my fingerprints, immediate error)Second phone I received:- Visible damage despite choose ""excellent condition""- Glue sticking out the sides, showing a poor repair job and NO WATER SEAL anymore- Began overheating the first day- Fingerprint reader initially registered prints but never recognized it again- SCREEN FELL OFF WITHIN HOURS OF USE !!!",-0.9457,0.029999999999999992,-0.8411644085073204,-0.8804351015728862,0.0,9.579156e-07,1,-0.23389979316636791,1,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,43,16
This is the best phone I have ever had! And the camera quality is amazing!,0.8619,0.875,2.0029865232251698e-05,-0.0002551178716487604,1.0,0.8639049,1,0.657224257913124,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,3,4
"Two months after the phone was purchased, the speaker is blown. Samsung refuses to replace it and wants me to mail it on for service with a two week turn around because the warranty only covers parts and labor, not replacement. DO NOT BUY THIS PHONE! You have been warned.",-0.3382,0.1,-0.9264487122886501,-0.7097224233204131,0.0,6.9500106e-07,-1,-0.4106243486582858,1,Negative,Positive,Negative,Negative,Negative,Negative,Neutral,Negative,12,13
My sister is happy with the phone and I am happy,0.8126,0.8,0.00028140373077158165,8.91366325609386e-05,1.0,0.8728586,1,0.6408327320414982,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,2,2
"It does everything I want it to do. Battery life is excellent, and phone calls are crystal clear on the Consumer Cellular network",0.765,0.55,0.0012068121252429426,1.756201151139475e-05,1.0,0.7653172,1,0.5830773679644478,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,8,5
"I was delighted to get this on a nice offer, but when it arrived damaged, I kinda figured out why it was so inexpensive. I can understand that sometimes, things happen during shipping, but the box containing this appears [beyond cosmetic differences from having the tape removed during its previous ownership] to be fine. The phone inside was slightly bent and would not power on.Maybe this is just my sole experience. Maybe its not. Maybe someone can tell me why I can't get Samsung to return my calls...",0.1027,0.2305555555555555,-0.10333782996150664,0.04798496245710382,0.0,9.864012e-07,1,0.1825576677789122,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,16,21
Great phone. Hope it stays that way. Had it a few months.,0.7906,0.30000000000000004,0.004854416701743913,0.005271561852136064,1.0,0.845577,1,0.5637575685893622,0,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,3,4
"If you are already using Samsung products, you'll probably love this phone. If not, good luck!Samsung tries to make you convert your basic apps to theirs (calendar, photo gallery, etc) and you can't uninstall their apps.The fingerprint sensor is on the side of the phone and is a button. So you have to push hard enough to detect your fingerprint, but not too hard or else you've pressed the on/off button. Half the time it doesn't even recognize my fingerprint and I have to reposition.The face recognition works a fraction of the time.The screen will not turn on (even just to show you the time) unless you press the on/off button.There's about a 1 second delay when taking pictures. Which doesn't sound like a whole lot, and wouldn't be if you're just shooting inanimate objects, but I have 4 kids that I'm trying to get pictures of. They can move a lot in one second! Also, it takes another second or two or three between pictures if you're trying to take multiple in a row. The camera may have a ton of MP, but it lags bad and the pictures really aren't that great. Also, if your location isn't turned on, it will prompt you to turn it on every single time you open your camera.I'm returning this because it's just not user friendly.",-0.9696,0.02517857142857144,0.11295019660769867,0.026695632864968122,0.0,9.525136e-07,1,0.02788933620211601,1,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,59,40
The main reason I bought this phone is for the camera. Try to zoom in and the pictures look  grainy and pixelated showing no detail whatsover. Getting a decent camera on a $400 phone is a major issue with Samsung evidently.,-0.296,0.16145833333333331,-0.16482249564089946,0.1632769020479925,0.0,0.8697764,1,0.2476698810694636,1,Negative,Positive,Negative,Negative,Negative,Positive,Positive,Negative,13,8
"CORRECTION !!!  I purchased a Samsung Galaxy S21+ from CELL UNIVERSAL in early OCTOBER (not November). When it arrived it didn't work properly - UNLESS you consider a screen that was backwards !!  It appears not from left to right as phones do, but from RIGHT to Left. This makes things such as swiping left now require swiping right. And instead of moving the slider left to right to increase brightness, or  to increase or decrease the volume, these are backwards as well. I contacted the company CELL UNIVERSAL but got no response. When I contacted Amazon they tried to help, but all I got from CELL UNIVERSAL was questions, and no way to get a Return Merchandise Authorization (RMA). After more contacts with Amazon, CELL UNIVERSAL finally sent me an address to send it back, but no RMA. Apparently they are expecting ME to pay to send it back. Overall, This company, CELL UNIVERSAL, APPEARS to be making me jump through numerous hoops without doing anything to resolve this issue. It's almost, to me, like they are trying to get me so tired of playing this game that I just give up and let them ""steal"" my $879.27 !!!  Amazon itself has been very good at trying to help with this, so it's not Amazon I'm angry at - it's strictly Cell Universal. Again, CELL UNIVERSAL is the apparent root of this problem...",0.9492,0.03572023809523809,-0.452233500232846,-0.24991812980081707,0.0,1.4366276e-06,1,0.18325286352702488,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,67,55
The phone looks great but the battery is discharged a bit fast as it capacity 5000mah.,0.3716,0.5,0.010506083160250035,0.03997874884992142,1.0,0.9307137,1,0.550399792168467,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,4,3
"Received the phone brand new in the box as described.  I switched all my information over with ease no problems to include setting up my sim, everything worked fine until I realized I couldn't get access to my samsung pay and upon further research and a couple of calls, this phone does not accept the US version of samsung pay due to the region locked code. So I'm  returning the phone back, and looking for a US version of the model which is more expensive than the international models sold here on Amazon 🙁!!",0.412,0.05350378787878787,-0.154660818472121,-0.22802458737757458,0.0,1.2765756e-06,1,0.15468852265781763,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,29,15
"I hung on to my S5 Active for 9 years, because nothing else had a usable replaceable battery.  Then the price on the XCover Pro came down to something reasonable.  My only complaint.  Does not have voice answer like my old phone.  I had to get used to using the steering wheel button in the truck to answer calls.  If I'm in the older car with no phone interface, the call has to go to voice mail, I'm not going to mess around with a phone while driving.",0.4423,-0.03715277777777777,-0.045349840256587504,0.05753306964291527,0.0,1.0036678e-06,1,0.20247592218233032,1,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,25,18
I bought the phone when it was on sale but would not buy for the actual advertised price. It's nice and small. Battery is draining little faster for new phone. Overall it's doing it's job but not the greatest.,-0.2148,0.18555194805194805,0.10816717176834967,0.05093913714195075,0.0,0.8863274,1,0.28802652040923615,1,Negative,Positive,Negative,Negative,Negative,Positive,Positive,Negative,10,7
