text,vader_score,roberta_score,bert_score,textblob_score,cnn_score,lstm_score,svm_score,hybrid_score,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,hybrid_sentiment,noun_count,verb_count
"This is one amazing phone. The specs on this phone kicks ass any day. The prices om phones these days are horrible but this one was definitely reasonable Pricing and with it, great specs.Edit: OnePlus releases some shitty updates recently to the os, couple things keep breaking. They also added some dumb features which make things harder to get to. This along with an issue which seems constant amongst OnePlus devices where you can hear others in a call but they can't hear you... This is still a decent phone, but definitely won't buy it again.",0.31820000000000004,0.007083714008331299,0.04946206510066986,0.029166666666666785,0.4256730079650879,0.42801010608673096,-0.042409986916116305,0.17359793898733863,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,25,17
"Tank of a phone, never failed me, it does everything i ask of it, no regrets of buying it",0.5874999999999999,0.07588706817477942,0.00031459564343094826,0.1499999999999999,0.6602218151092529,0.5695048570632935,-0.00609372491407234,0.29104780158238347,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,7,4
"I've just had the phone for one week, but I love it. The battery lasts much longer than other phones I have used. It was easy to set up.",0.8921999999999999,0.00783887435682118,0.0037498821038752794,0.2520833333333332,0.6677422523498535,0.5695003271102905,0.01804842680539829,0.34445187086565315,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,5,6
"Very comfortable to use a bigger hands like mine, but has a built in feature that lets you pull apps down from the corners of you can't reach them, which is really useful for smaller hands. Pictures look good and the zoom is INCREDIBLE for photos and videos. Good user interface, though missing some features from other major Android phones.Overall, great phone",0.9645999999999999,0.016799248289316893,0.003458218416199088,0.29182870370370373,0.6405144929885864,0.5717887878417969,0.051310369121625884,0.3628999743373184,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,18,12
Blazing fast. I can play the latest games and watch videos on this beautiful phone. The games play at their absolute best and older games can shine with the features added to optimize gameplay and graphics. Charging is phenomenal and battery life has exceeded my expectations. I can even expand my RAM even further than the 16 GB in the phone by using my SSD space. I would recommend this phone for those who want a blazing fast experience at a great cost.,0.9777,0.008352575940079987,0.0003158807521685958,0.44166666666666665,0.5366995334625244,0.5497459173202515,0.024764038467995558,0.36274923037281237,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,22,14
"La entrega del móvil fue rápida, recibí el equipo en buenas condiciones como esperaba",0.0,0.749332070350647,0.007601471152156591,0.0,0.6512950658798218,0.5694891214370728,0.016211320480441417,0.2848470070428771,Neutral,Neutral,Positive,Positive,Positive,Positive,Positive,Positive,10,1
Battery drains fast. If you're not troubled by that it has a lot of nice features. I returned it.,0.6463000000000001,0.1710042804479599,0.26336587965488434,0.3500000000000001,0.6642662286758423,0.569499135017395,0.026473353107610047,0.38441555384338455,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,4,4
"For 500 less than the iPhone pro Max,OnePlus12 is almost as good and excels it in many ways.  I upgraded from a OnePlus 7t Maclaren I have had since 2018..that was (previously) the best phone I ever had..now, this is.  The picture quality is amazing and the 80w fast charging from 0 to 100percent in 30minutes absolutely amazing.  The watch2, I purchased with this and it is great as are the new earbuds..color 💚 green is amazing..the snapdragon OS and Oxygen android update fixes any and all issues previously such as android Auto disconnects..Absolutely best phone for the money..one charge lasts more than 2 days!!💞💞💞",0.9933000000000001,0.007865654537454247,0.006255041342228651,0.39307359307359313,0.44942641258239746,0.34508848190307617,0.013755706271595353,0.31553784138719215,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,22,16
"It has great battery life. I've forgotten to charge it a couple times and been fine. It has good sound. Is has a good display, though the glare is quite bad. It came with a plastic cover on the display and I have not taken that off, so that might be the cause of the glare? It also doesn't really get bright enough for using it in the sun. I've not had any problems with it, which says a lot for the price point. I use it to listen to spotify and it has great sound for a handheld device.",0.8675000000000002,0.08971859142184258,0.14039555191993713,0.4015151515151516,0.37337636947631836,0.545520544052124,0.07339126307701249,0.35591678163748375,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,23,21
"I am a nerd. I own almost every foldable and phone out there. This foldable is by far the best phone that I have ever had with the exception that it is not dust protected. That is the only reason that I have it accepting Wi-Fi Hotspot from my daily driver S23 Ultra because I do need something that can withstand the elements. Update: Had to factory reset due to constant random resetting during WiFi calls and other tasks. Also found brick dead twice. After reset, no issues, yet. I'll give it a few more days. Update 2: Even after the factory reset, and a few hopeful days using everything else I like about the phone, it started to randomly reboot. This is a deal breaker. Edit Dec 25: I updated the software; crossing fingers that there's no more random reboots. Last edit: 1 star. When only WiFi is on the phone, no data carrier, loss of WiFi signal, causes phone to sporadically reset/restart, no matter what you're doing, even if on a WiFi meeting. Down to 1 star and ""Do Not Buy"" without good warranty status. You'll need the warranty. Reset 3 times back to back today, even after factory reset and all updates applied.",-0.30479999999999996,0.12097831442952156,-0.03949509561061859,0.0065656565656566634,0.3824455738067627,0.31026458740234375,-0.2529176308667633,0.03186305796098612,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive,62,31
