text,vader_score,textblob_score,roberta_score,bert_score,cnn_score,lstm_score,svm_score,hybrid_score,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,hybrid_sentiment,noun_count,verb_count
"This is one amazing phone. The specs on this phone kicks ass any day. The prices om phones these days are horrible but this one was definitely reasonable Pricing and with it, great specs.Edit: OnePlus releases some shitty updates recently to the os, couple things keep breaking. They also added some dumb features which make things harder to get to. This along with an issue which seems constant amongst OnePlus devices where you can hear others in a call but they can't hear you... This is still a decent phone, but definitely won't buy it again.",0.3182,0.0008506944444444481,0.0036345409118343497,0.03992094172593852,0.4515552520751953,0.46298539638519287,0.1121244565591695,0.09494612672827736,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Neutral,25,17
"Tank of a phone, never failed me, it does everything i ask of it, no regrets of buying it",0.5875,0.02249999999999999,0.007963154492201807,0.00030789482151904763,0.622616171836853,0.6300830841064453,0.625887778200038,0.2488317655027518,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,7,4
"I've just had the phone for one week, but I love it. The battery lasts much longer than other phones I have used. It was easy to set up.",0.8922,0.06354600694444441,9.770269262078524e-05,0.003532921112379783,0.6508708000183105,0.6300860643386841,0.900051599254186,0.3718856460007262,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,5,6
"Very comfortable to use a bigger hands like mine, but has a built in feature that lets you pull apps down from the corners of you can't reach them, which is really useful for smaller hands. Pictures look good and the zoom is INCREDIBLE for photos and videos. Good user interface, though missing some features from other major Android phones.Overall, great phone",0.9646,0.0851639923053841,0.0004319685286586217,0.003239204334922847,0.6126329898834229,0.6304163932800293,0.7909967965287185,0.3688863923395368,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,18,12
Blazing fast. I can play the latest games and watch videos on this beautiful phone. The games play at their absolute best and older games can shine with the features added to optimize gameplay and graphics. Charging is phenomenal and battery life has exceeded my expectations. I can even expand my RAM even further than the 16 GB in the phone by using my SSD space. I would recommend this phone for those who want a blazing fast experience at a great cost.,0.9777,0.19506944444444443,9.837711235807095e-05,0.0003139314631660223,0.5759708881378174,0.6186796426773071,0.8193979386390637,0.3985159383318065,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,22,14
"La entrega del móvil fue rápida, recibí el equipo en buenas condiciones como esperaba",0.0,0.0,0.6648736698001549,0.006728556880406123,0.6562929153442383,0.6300830841064453,0.8823533625056336,0.31079111783723895,Neutral,Neutral,Positive,Positive,Positive,Positive,Positive,Positive,10,1
Battery drains fast. If you're not troubled by that it has a lot of nice features. I returned it.,0.6463,0.12250000000000007,0.05672114594547839,0.17493015455094296,0.6445848941802979,0.6300832033157349,0.9238824086669699,0.38486674183267827,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,4,4
"For 500 less than the iPhone pro Max,OnePlus12 is almost as good and excels it in many ways.  I upgraded from a OnePlus 7t Maclaren I have had since 2018..that was (previously) the best phone I ever had..now, this is.  The picture quality is amazing and the 80w fast charging from 0 to 100percent in 30minutes absolutely amazing.  The watch2, I purchased with this and it is great as are the new earbuds..color 💚 green is amazing..the snapdragon OS and Oxygen android update fixes any and all issues previously such as android Auto disconnects..Absolutely best phone for the money..one charge lasts more than 2 days!!💞💞💞",0.9933,0.15450684957178468,9.876785133784705e-05,0.006083381579715928,0.4801321029663086,0.3169245719909668,0.8828509379598072,0.40736798739252916,Positive,Positive,Positive,Positive,Neutral,Negative,Positive,Positive,22,16
"It has great battery life. I've forgotten to charge it a couple times and been fine. It has good sound. Is has a good display, though the glare is quite bad. It came with a plastic cover on the display and I have not taken that off, so that might be the cause of the glare? It also doesn't really get bright enough for using it in the sun. I've not had any problems with it, which says a lot for the price point. I use it to listen to spotify and it has great sound for a handheld device.",0.8675,0.16121441689623514,0.017860855459105984,0.06877220664934391,0.439907431602478,0.44028329849243164,0.7038136598980798,0.36383222778055296,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,23,21
"I am a nerd. I own almost every foldable and phone out there. This foldable is by far the best phone that I have ever had with the exception that it is not dust protected. That is the only reason that I have it accepting Wi-Fi Hotspot from my daily driver S23 Ultra because I do need something that can withstand the elements. Update: Had to factory reset due to constant random resetting during WiFi calls and other tasks. Also found brick dead twice. After reset, no issues, yet. I'll give it a few more days. Update 2: Even after the factory reset, and a few hopeful days using everything else I like about the phone, it started to randomly reboot. This is a deal breaker. Edit Dec 25: I updated the software; crossing fingers that there's no more random reboots. Last edit: 1 star. When only WiFi is on the phone, no data carrier, loss of WiFi signal, causes phone to sporadically reset/restart, no matter what you're doing, even if on a WiFi meeting. Down to 1 star and ""Do Not Buy"" without good warranty status. You'll need the warranty. Reset 3 times back to back today, even after factory reset and all updates applied.",-0.3048,4.3107846138149725e-05,0.02308434387561098,-0.032833011198665885,0.33638012409210205,0.305804967880249,-0.24308796504370953,-0.11151870490412526,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,62,31
