text,vader_score,textblob_score,roberta_score,bert_score,cnn_score,lstm_score,svm_score,hybrid_score,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,hybrid_sentiment
"This is one amazing phone. The specs on this phone kicks ass any day. The prices om phones these days are horrible but this one was definitely reasonable Pricing and with it, great specs.Edit: OnePlus releases some shitty updates recently to the os, couple things keep breaking. They also added some dumb features which make things harder to get to. This along with an issue which seems constant amongst OnePlus devices where you can hear others in a call but they can't hear you... This is still a decent phone, but definitely won't buy it again.",0.3182,0.029166666666666674,0.007083714008331299,0.04946206510066986,0.433225154876709,0.3094775676727295,0.13625459045217758,0.10803340724556909,Positive,Neutral,Neutral,Neutral,Negative,Negative,Positive,Positive
"Tank of a phone, never failed me, it does everything i ask of it, no regrets of buying it",0.5875,0.15,0.07588706817477942,0.00031459564343094826,0.6488662958145142,0.7233284711837769,0.6962521395371005,0.30199076067106223,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
"I've just had the phone for one week, but I love it. The battery lasts much longer than other phones I have used. It was easy to set up.",0.8922,0.2520833333333333,0.00783887435682118,0.0037498821038752794,0.6666131019592285,0.7233147621154785,0.9395024076161841,0.4190748994820428,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
"Very comfortable to use a bigger hands like mine, but has a built in feature that lets you pull apps down from the corners of you can't reach them, which is really useful for smaller hands. Pictures look good and the zoom is INCREDIBLE for photos and videos. Good user interface, though missing some features from other major Android phones.Overall, great phone",0.9646,0.2918287037037037,0.016799248289316893,0.003458218416199088,0.6625590324401855,0.7221429347991943,0.8667531989701148,0.42868787387586693,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
Blazing fast. I can play the latest games and watch videos on this beautiful phone. The games play at their absolute best and older games can shine with the features added to optimize gameplay and graphics. Charging is phenomenal and battery life has exceeded my expectations. I can even expand my RAM even further than the 16 GB in the phone by using my SSD space. I would recommend this phone for those who want a blazing fast experience at a great cost.,0.9777,0.4416666666666667,0.008352575940079987,0.0003158807521685958,0.5620025396347046,0.6841331720352173,0.8815533250648824,0.4619176896847595,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
"La entrega del móvil fue rápida, recibí el equipo en buenas condiciones como esperaba",0.0,0.0,0.8183102607727051,0.007601471152156591,0.6853339672088623,0.7233289480209351,0.9262107616875279,0.35042449872247794,Neutral,Neutral,Positive,Neutral,Positive,Positive,Positive,Positive
Battery drains fast. If you're not troubled by that it has a lot of nice features. I returned it.,0.6463,0.35000000000000003,0.1710042804479599,0.430058091878891,0.6199702024459839,0.7233282327651978,0.9598264013919199,0.5114377547437542,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"For 500 less than the iPhone pro Max,OnePlus12 is almost as good and excels it in many ways.  I upgraded from a OnePlus 7t Maclaren I have had since 2018..that was (previously) the best phone I ever had..now, this is.  The picture quality is amazing and the 80w fast charging from 0 to 100percent in 30minutes absolutely amazing.  The watch2, I purchased with this and it is great as are the new earbuds..color 💚 green is amazing..the snapdragon OS and Oxygen android update fixes any and all issues previously such as android Auto disconnects..Absolutely best phone for the money..one charge lasts more than 2 days!!💞💞💞",0.9933,0.39307359307359313,0.007865654537454247,0.006255041342228651,0.5474503040313721,0.27873754501342773,0.9253351410131456,0.46516588599328434,Positive,Positive,Neutral,Neutral,Neutral,Negative,Positive,Positive
"It has great battery life. I've forgotten to charge it a couple times and been fine. It has good sound. Is has a good display, though the glare is quite bad. It came with a plastic cover on the display and I have not taken that off, so that might be the cause of the glare? It also doesn't really get bright enough for using it in the sun. I've not had any problems with it, which says a lot for the price point. I use it to listen to spotify and it has great sound for a handheld device.",0.8675,0.4015151515151516,0.08971859142184258,0.14039555191993713,0.40334057807922363,0.49701714515686035,0.8058425972008099,0.46099437841154833,Positive,Positive,Neutral,Positive,Negative,Neutral,Positive,Positive
"I am a nerd. I own almost every foldable and phone out there. This foldable is by far the best phone that I have ever had with the exception that it is not dust protected. That is the only reason that I have it accepting Wi-Fi Hotspot from my daily driver S23 Ultra because I do need something that can withstand the elements. Update: Had to factory reset due to constant random resetting during WiFi calls and other tasks. Also found brick dead twice. After reset, no issues, yet. I'll give it a few more days. Update 2: Even after the factory reset, and a few hopeful days using everything else I like about the phone, it started to randomly reboot. This is a deal breaker. Edit Dec 25: I updated the software; crossing fingers that there's no more random reboots. Last edit: 1 star. When only WiFi is on the phone, no data carrier, loss of WiFi signal, causes phone to sporadically reset/restart, no matter what you're doing, even if on a WiFi meeting. Down to 1 star and ""Do Not Buy"" without good warranty status. You'll need the warranty. Reset 3 times back to back today, even after factory reset and all updates applied.",-0.3048,0.006565656565656567,0.12097831442952156,-0.24989156424999237,0.36864209175109863,0.04973292350769043,-0.30612517639355363,-0.14665455392967358,Negative,Neutral,Positive,Negative,Negative,Negative,Negative,Negative
